LegacyAnthropicPlugin	class	example/plugin_kit_dialog_demo/lib/plugins/legacy_anthropic_plugin.dart	7
LinterService	class	example/code_editor/lib/src/services.dart	14
LocalLlmRunnerPlugin	class	example/plugin_kit_dialog_demo/lib/plugins/local_llm_runner_plugin.dart	8
LocalPluginOverride	class	packages/plugin_kit/lib/src/service_registry.dart	889
MarkdownAnalyzer	class	example/code_editor/lib/plugins/markdown_language.dart	10
MarkdownLanguagePlugin	class	example/code_editor/lib/plugins/markdown_language.dart	45
MemoryKeeperPlugin	class	example/plugin_kit_dialog_demo/lib/plugins/memory_keeper_plugin.dart	7
MessageInput	class	example/state_garden/lib/src/widgets/message_input.dart	8
MessageList	class	example/state_garden/lib/src/widgets/message_list.dart	9
MissingExtensionRenderer	class	packages/plugin_kit_dialog/lib/src/widgets/services/fields/missing_extension_input.dart	9
MobxChatBridge	class	example/state_garden/lib/src/integrations/mobx_chat.dart	19
MobxChatScreen	class	example/state_garden/lib/src/integrations/mobx_chat.dart	46
ModelRouterPlugin	class	example/plugin_kit_dialog_demo/lib/plugins/model_router_plugin.dart	11
MultilineConfigField	class	packages/plugin_kit/lib/src/dialog/config_field.dart	48
MultilineFieldInput	class	packages/plugin_kit_dialog/lib/src/widgets/services/fields/multiline_field_input.dart	9
Namespace	extension-type	packages/plugin_kit/lib/src/typed_handles.dart	135
NamespaceSectionCard	class	packages/plugin_kit_dialog/lib/src/widgets/services/namespace_section_card.dart	13
NumberConfigField	class	packages/plugin_kit/lib/src/dialog/config_field.dart	103
NumberFieldInput	class	packages/plugin_kit_dialog/lib/src/widgets/services/fields/number_field_input.dart	8
NumberFieldStyle	enum	packages/plugin_kit/lib/src/dialog/config_field.dart	86
OutputOptionsCard	class	packages/plugin_kit_dialog/lib/src/widgets/advanced/output_options_card.dart	9
PanelDescriptor	class	example/code_editor/lib/app/contributions.dart	39
PanelPosition	enum	example/code_editor/lib/app/contributions.dart	21
PanelWidgetFactory	class	example/code_editor/lib/app/factories.dart	15
PasswordConfigField	class	packages/plugin_kit/lib/src/dialog/config_field.dart	71
PasswordFieldInput	class	packages/plugin_kit_dialog/lib/src/widgets/services/fields/password_field_input.dart	7
Pin	extension-type	packages/plugin_kit/lib/src/typed_handles.dart	277
Plugin	class	packages/plugin_kit/lib/src/plugin/core.dart	103
PluginCard	class	packages/plugin_kit_dialog/lib/src/widgets/plugins/plugin_card.dart	10
PluginChipGroups	class	packages/plugin_kit_dialog/lib/src/runtime/plugins/plugin_kit_visuals_plugin.dart	271
PluginChipModel	class	packages/plugin_kit_dialog/lib/src/runtime/plugins/plugin_kit_visuals_plugin.dart	219
PluginChipsBuilder	class	packages/plugin_kit_dialog/lib/src/runtime/plugins/plugin_kit_visuals_plugin.dart	134
PluginConfig	class	packages/plugin_kit/lib/src/settings.dart	109
PluginContext	class	packages/plugin_kit/lib/src/types.dart	24
PluginEventNotifier	class	packages/flutter_plugin_kit/lib/src/event_notifier.dart	31
PluginId	extension-type	packages/plugin_kit/lib/src/typed_handles.dart	11
PluginKitDialog	class	packages/plugin_kit_dialog/lib/src/widgets/plugin_kit_dialog.dart	12
PluginKitDialogBody	class	packages/plugin_kit_dialog/lib/src/widgets/plugin_kit_dialog_body.dart	15
PluginKitDialogCard	class	packages/plugin_kit_dialog/lib/src/widgets/shared/plugin_kit_dialog_card.dart	7
PluginKitDialogController	class	packages/plugin_kit_dialog/lib/src/controller/plugin_kit_dialog_controller.dart	7
PluginKitDialogDemoApp	class	example/plugin_kit_dialog_demo/lib/main.dart	14
PluginKitDialogDraft	class	packages/plugin_kit_dialog/lib/src/controller/plugin_kit_dialog_draft.dart	4
PluginKitDialogHeader	class	packages/plugin_kit_dialog/lib/src/widgets/header/plugin_kit_dialog_header.dart	13
PluginKitDialogTheme	class	packages/plugin_kit_dialog/lib/src/theme/plugin_kit_dialog_theme.dart	35
PluginKitStateProofsApp	class	example/state_garden/lib/main.dart	15
